frame_idx,subject_id,subject_name,subject_height_cm,subject_gender,action_id,joint_0_x,joint_0_y,joint_0_z,joint_1_x,joint_1_y,joint_1_z,joint_2_x,joint_2_y,joint_2_z,joint_3_x,joint_3_y,joint_3_z,joint_4_x,joint_4_y,joint_4_z,joint_5_x,joint_5_y,joint_5_z,joint_6_x,joint_6_y,joint_6_z,joint_7_x,joint_7_y,joint_7_z,joint_8_x,joint_8_y,joint_8_z,joint_9_x,joint_9_y,joint_9_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z
0,subject_04,Persona 4,170,M,punch_right,0.25698444,0.059524782,2.7857993,0.26484668,-0.10779799,2.776342,0.2882446,-0.23986799,2.7767694,0.2994134,-0.44291312,2.794999,0.3049647,-0.41199726,2.7612638,0.31885558,-0.3923107,2.6290069,0.20714524,-0.17710833,2.5355003,0.122198656,-0.34615636,2.6440406,0.10257179,-0.39871353,2.7151227,0.08907309,-0.44432792,2.8049157,0.088735096,-0.4305281,2.7258596,0.29212257,-0.40659678,2.8229976,0.24510777,-0.36570948,2.9298291,0.18574324,-0.13139196,3.037928,-0.014092864,-0.14074484,2.9443107,-0.023823172,-0.20281252,2.869748,-0.004285153,-0.29523134,2.8372946,-0.019890597,-0.24444254,2.8798864,0.29267073,0.065595336,2.7080665,0.3151086,0.4411347,2.6938293,0.36209664,0.7977534,2.7021468,0.28867015,0.8802796,2.5649037,0.22480455,0.054050695,2.8558943,0.18033391,0.4264351,2.883881,0.22181585,0.78683794,2.907985,0.09295766,0.8771139,2.869009,0.2912296,-0.519175,2.7992785,0.15541646,-0.5503709,2.7408247,0.19496144,-0.5827599,2.7282643,0.3133833,-0.5723255,2.719312,0.17285833,-0.58323085,2.7721815,0.2554705,-0.5859097,2.8635573
1,subject_04,Persona 4,170,M,punch_right,0.25707695,0.059813898,2.7851882,0.264906,-0.10744541,2.7757013,0.28821707,-0.23947951,2.7760828,0.29896602,-0.4425293,2.7935457,0.30456656,-0.41151264,2.7599373,0.31841737,-0.39195734,2.6277082,0.20684257,-0.17628852,2.535435,0.1226953,-0.34627938,2.6429017,0.10290487,-0.39879394,2.7139256,0.08911179,-0.44438794,2.8036385,0.08963634,-0.43076876,2.7249882,0.2917643,-0.40631738,2.8216708,0.24536543,-0.36580825,2.9288485,0.18680929,-0.13195574,3.0381012,-0.013276101,-0.14063415,2.9451725,-0.023558635,-0.20221515,2.8703468,-0.0044045486,-0.29454598,2.8375494,-0.019955112,-0.24407226,2.8803456,0.2927729,0.065891504,2.7074962,0.3151533,0.4413031,2.693563,0.36229324,0.7977508,2.7023995,0.28874043,0.8803634,2.5653625,0.22488834,0.054333456,2.8552468,0.18043399,0.4265561,2.883502,0.22177732,0.7868003,2.9081194,0.0930659,0.87713623,2.869053,0.2906283,-0.51875776,2.7975438,0.15514325,-0.5494186,2.7382395,0.19430813,-0.5825296,2.7268705,0.31282848,-0.57385314,2.719136,0.1717676,-0.58173966,2.7704449,0.25328892,-0.58346045,2.862689
2,subject_04,Persona 4,170,M,punch_right,0.25712842,0.059981324,2.7845294,0.26493287,-0.10721818,2.774983,0.28814945,-0.23922238,2.7752872,0.29849657,-0.4422844,2.7919302,0.3041765,-0.41115507,2.7584634,0.3183153,-0.39166453,2.6263034,0.20754167,-0.17537534,2.5348005,0.1234236,-0.3460118,2.6410823,0.10330385,-0.39872125,2.7118225,0.08891639,-0.4447467,2.8011656,0.09008408,-0.4311255,2.7222776,0.2913476,-0.40618604,2.8201864,0.2453022,-0.36626476,2.9276788,0.18555644,-0.13325998,3.0378258,-0.012624766,-0.1477843,2.9427352,-0.020030117,-0.20986417,2.8682728,0.001978333,-0.30137342,2.8356514,-0.012971462,-0.25249434,2.8808966,0.29283208,0.066081665,2.706875,0.3151479,0.44137764,2.6932108,0.36243042,0.79766953,2.7025068,0.28876272,0.8804387,2.5657048,0.22493283,0.054480374,2.854554,0.18048327,0.42654914,2.8831246,0.22168149,0.7866442,2.9083006,0.09312503,0.8769884,2.868978,0.29001403,-0.5184834,2.7956138,0.15484704,-0.54883003,2.735577,0.19374323,-0.582482,2.7251697,0.31233835,-0.57510114,2.7184534,0.17083146,-0.5807129,2.7684608,0.2514382,-0.58161145,2.861426
3,subject_04,Persona 4,170,M,punch_right,0.25619262,0.060069717,2.7823608,0.26344937,-0.10689611,2.773054,0.28627247,-0.23874931,2.7735302,0.29689407,-0.44151786,2.7895715,0.30246526,-0.41033956,2.756234,0.31653595,-0.39156473,2.624188,0.20976797,-0.17359817,2.5335264,0.12373228,-0.34377158,2.6381755,0.10789106,-0.39904085,2.7069595,0.09166408,-0.45069206,2.7910562,0.09519704,-0.43311876,2.7153075,0.28976038,-0.40556386,2.8178937,0.2453252,-0.36598715,2.9259088,0.18823181,-0.13250686,3.0353086,-0.010248555,-0.14905256,2.9419827,-0.017565332,-0.21178786,2.8682444,0.0047172657,-0.3031302,2.8357198,-0.009258576,-0.25604308,2.8834002,0.29172274,0.06594085,2.7047613,0.31432498,0.44064412,2.691907,0.3628448,0.79614294,2.7023122,0.28916246,0.880125,2.5666652,0.22415352,0.05477546,2.8523357,0.18003514,0.4261611,2.8822627,0.22088444,0.7856478,2.9082842,0.093239084,0.8768037,2.869005,0.28852978,-0.517616,2.793055,0.15325962,-0.54890794,2.7344513,0.19202694,-0.5827505,2.7245674,0.3104193,-0.57570094,2.717132,0.16935493,-0.58007234,2.7678308,0.25028104,-0.5792015,2.860194
4,subject_04,Persona 4,170,M,punch_right,0.25497943,0.059896547,2.7804813,0.26220173,-0.106925845,2.7714505,0.28497368,-0.23865534,2.7722676,0.29573688,-0.441238,2.7881308,0.3014403,-0.41004598,2.7548895,0.31611657,-0.39161712,2.622997,0.21125562,-0.17285088,2.5327508,0.12396171,-0.3433848,2.635221,0.11243085,-0.40058964,2.7025506,0.09688539,-0.4548094,2.7850888,0.10081863,-0.436624,2.7103825,0.2884205,-0.40535742,2.8164253,0.24377885,-0.36611515,2.9243543,0.18755774,-0.13205276,3.0323255,-0.01048081,-0.14862461,2.9383912,-0.019219548,-0.2122391,2.8657649,0.005392963,-0.30365214,2.8366106,-0.0063284906,-0.25868616,2.885553,0.29096633,0.0656415,2.7031815,0.31349775,0.43999827,2.6905513,0.36294982,0.7949644,2.7023616,0.28882268,0.8799681,2.5678463,0.22252837,0.054716066,2.8501856,0.17964412,0.42580202,2.8809938,0.22017148,0.784875,2.9082603,0.09322236,0.8769099,2.8694785,0.28745165,-0.51727754,2.7914853,0.15185918,-0.548611,2.7340548,0.19039224,-0.5827292,2.7243981,0.308664,-0.5763461,2.716248,0.16798547,-0.5794128,2.7677076,0.2493361,-0.5777958,2.8595378
5,subject_04,Persona 4,170,M,punch_right,0.25407112,0.059815448,2.7787745,0.26128155,-0.10686771,2.7699642,0.2840548,-0.2384714,2.7710705,0.29509652,-0.44087926,2.7866173,0.30091545,-0.40964484,2.7534945,0.31625938,-0.39149934,2.621768,0.2133942,-0.17214085,2.53134,0.12452357,-0.34249443,2.6322803,0.11530663,-0.40010998,2.6996183,0.09734082,-0.45453474,2.7815506,0.10420783,-0.43879524,2.706317,0.28756884,-0.40509602,2.8149085,0.24267577,-0.36661327,2.9228787,0.18567626,-0.13277678,3.0303767,-0.00875093,-0.15728803,2.9330294,-0.0155144315,-0.22174838,2.8611524,0.015093979,-0.31084168,2.8338783,0.003906279,-0.26767656,2.8838012,0.2904244,0.06546335,2.7017286,0.3128242,0.43948978,2.6891499,0.36306572,0.793978,2.7019606,0.2877692,0.87931174,2.568544,0.22128963,0.054722473,2.8482497,0.17935233,0.42550942,2.8797796,0.21958457,0.7842019,2.9080608,0.09310006,0.876781,2.8696752,0.2869419,-0.5168706,2.7897892,0.15182601,-0.5473585,2.7312,0.19014606,-0.5817817,2.7220304,0.30840915,-0.5763285,2.715001,0.16736825,-0.57814443,2.7650821,0.24774079,-0.57682145,2.857621
6,subject_04,Persona 4,170,M,punch_right,0.25327218,0.059708834,2.7772841,0.26047575,-0.10688041,2.768629,0.28324813,-0.23839921,2.7699478,0.29457527,-0.44069216,2.7851543,0.30046555,-0.40940502,2.752133,0.31624264,-0.39145526,2.6205142,0.21472833,-0.17169629,2.529934,0.12467482,-0.34189948,2.629798,0.1172718,-0.3997274,2.6972642,0.09752999,-0.45427188,2.7788196,0.1060797,-0.44091046,2.702512,0.28687927,-0.40499693,2.8134642,0.24166995,-0.36719975,2.9214592,0.1839997,-0.13375148,3.0290756,-0.008029343,-0.16336675,2.9291031,-0.013531485,-0.22833155,2.857636,0.021717228,-0.31567916,2.8317337,0.0112236915,-0.27411357,2.88257,0.28992245,0.065289356,2.7004335,0.31226513,0.43909463,2.6880271,0.36333698,0.7931945,2.7019541,0.28720418,0.8789698,2.569448,0.2202229,0.05467662,2.8465834,0.17901085,0.4252679,2.87864,0.2189754,0.7836941,2.9077997,0.09290217,0.8766834,2.8694582,0.28654608,-0.5166565,2.7881517,0.15181135,-0.5468234,2.7287512,0.19006048,-0.5813821,2.7199135,0.30832112,-0.5763297,2.7136598,0.16701232,-0.5775794,2.7627916,0.24670787,-0.5763196,2.8558302
7,subject_04,Persona 4,170,M,punch_right,0.2526551,0.05936367,2.7760434,0.25987494,-0.10724404,2.767532,0.28272274,-0.23875652,2.7690713,0.29458946,-0.44105136,2.7840033,0.30053052,-0.40969023,2.7510567,0.31672108,-0.39213476,2.6194272,0.21504763,-0.1727348,2.5280373,0.12500522,-0.34308884,2.6277502,0.119000874,-0.40024382,2.6960688,0.097907364,-0.4541601,2.777893,0.108136974,-0.44232053,2.7020032,0.28666267,-0.40542427,2.8123379,0.24051046,-0.36850572,2.920226,0.18084827,-0.13577436,3.0282936,-0.009451023,-0.1682412,2.9257455,-0.01369876,-0.2333946,2.8543286,0.025767861,-0.3191558,2.8298817,0.016104998,-0.27886567,2.8814647,0.2895828,0.06488676,2.699315,0.31184778,0.4387226,2.6869068,0.36358094,0.79272115,2.7016184,0.28690046,0.87841326,2.569343,0.21935566,0.054383248,2.8452325,0.17864907,0.42502528,2.8776724,0.21839994,0.7834432,2.9075327,0.09255098,0.8767353,2.8691244,0.2867745,-0.5170484,2.7868435,0.15355062,-0.5468345,2.7243054,0.19213003,-0.5811165,2.7157867,0.31038103,-0.5755388,2.7120612,0.16820027,-0.57802725,2.7581856,0.2458987,-0.57783777,2.8527737
8,subject_04,Persona 4,170,M,punch_right,0.2515493,0.05869606,2.7754285,0.25885376,-0.10818746,2.7670503,0.2817208,-0.23991367,2.768853,0.29538244,-0.44246387,2.7826333,0.30139464,-0.41077682,2.7499175,0.3190822,-0.39204547,2.6184764,0.21580844,-0.17244972,2.5281734,0.12595205,-0.344788,2.6251888,0.11720706,-0.39973977,2.6949499,0.098475404,-0.4534051,2.7777457,0.10765904,-0.44049186,2.7042544,0.28678858,-0.40706253,2.8111413,0.23883282,-0.37155426,2.9188557,0.17456473,-0.1415087,3.0302792,-0.01032398,-0.18280265,2.9226642,-0.009289044,-0.25092292,2.8553352,0.028936958,-0.33667558,2.8279083,0.023393497,-0.28643486,2.8832436,0.28919277,0.064190574,2.6989038,0.31138664,0.43861607,2.6857982,0.363827,0.7930781,2.7011187,0.287612,0.8783187,2.567908,0.21760434,0.053741414,2.844434,0.17724212,0.42502567,2.8770351,0.2184407,0.7837968,2.9076917,0.092216544,0.876884,2.8689053,0.2882594,-0.518651,2.7848966,0.15563504,-0.54715747,2.720076,0.19450794,-0.5811199,2.7111034,0.312967,-0.5751303,2.7088609,0.17005758,-0.5792039,2.7533133,0.24683124,-0.58128655,2.8487887
9,subject_04,Persona 4,170,M,punch_right,0.25058177,0.057866734,2.7751338,0.25797412,-0.10933361,2.7667882,0.28098497,-0.24128951,2.7688146,0.29748613,-0.44401988,2.7809432,0.30343446,-0.411884,2.7485492,0.32215384,-0.39165246,2.6172528,0.2140385,-0.173766,2.5276232,0.12790537,-0.34887454,2.6235664,0.11684437,-0.4014758,2.6948557,0.09923474,-0.45382798,2.7790341,0.10766764,-0.4401757,2.7072403,0.28801313,-0.40898365,2.8097017,0.2352668,-0.3784703,2.915995,0.14557008,-0.1678302,3.0296588,-0.024853352,-0.22197063,2.9120736,-0.020021219,-0.2943265,2.851433,0.016332742,-0.37848446,2.8183143,0.010918563,-0.31765863,2.8931088,0.2888531,0.06337715,2.6987462,0.3110111,0.43850142,2.6851401,0.3639386,0.79356813,2.7008772,0.28782466,0.8789476,2.5672407,0.21607052,0.052897744,2.844016,0.1760055,0.42489937,2.8770306,0.21850805,0.784138,2.908495,0.091951594,0.8771142,2.869239,0.29145437,-0.5204201,2.7824235,0.15975049,-0.548086,2.714911,0.19906276,-0.5816162,2.705664,0.31769377,-0.5748678,2.7053156,0.1739637,-0.58091223,2.74758,0.24952385,-0.5849634,2.8441787
