frame_idx,subject_id,subject_name,subject_height_cm,subject_gender,action_id,joint_0_x,joint_0_y,joint_0_z,joint_1_x,joint_1_y,joint_1_z,joint_2_x,joint_2_y,joint_2_z,joint_3_x,joint_3_y,joint_3_z,joint_4_x,joint_4_y,joint_4_z,joint_5_x,joint_5_y,joint_5_z,joint_6_x,joint_6_y,joint_6_z,joint_7_x,joint_7_y,joint_7_z,joint_8_x,joint_8_y,joint_8_z,joint_9_x,joint_9_y,joint_9_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z
0,subject_09,Persona 9,176,M,crouch,0.7782072,0.056211796,1.8312525,0.7677559,-0.11345357,1.8247161,0.7743882,-0.24923782,1.8284261,0.77004904,-0.45388418,1.8593374,0.7803596,-0.4251331,1.8239627,0.7987951,-0.43732628,1.6894593,0.65901136,-0.25008145,1.5676794,0.5462623,-0.40789714,1.6739404,0.57522136,-0.48792833,1.7083889,0.542309,-0.5823896,1.7330735,0.53214824,-0.5333448,1.7214895,0.7631284,-0.41498238,1.884935,0.7285673,-0.38407415,2.0014455,0.49089462,-0.28526405,2.0778043,0.49901596,-0.4608878,1.9390744,0.56498677,-0.53345823,1.9515193,0.55972666,-0.5992136,1.8746765,0.54177094,-0.568216,1.9035116,0.822731,0.056346133,1.7565749,0.8944416,0.4305904,1.733918,1.0847528,0.7347075,1.8001163,1.0535612,0.9078224,1.7690151,0.7380581,0.05609066,1.8985927,0.56933624,0.39296734,1.9573123,0.5518392,0.7604486,1.9808472,0.43907225,0.87814647,1.9598322,0.7561265,-0.53009707,1.8673735,0.62266326,-0.5681167,1.8024251,0.6537568,-0.60806996,1.8193167,0.7725377,-0.6234154,1.835667,0.627098,-0.5794535,1.8502321,0.69598126,-0.5415596,1.9473238
1,subject_09,Persona 9,176,M,crouch,0.7782634,0.056721464,1.8309855,0.7673183,-0.11278432,1.8243728,0.77355385,-0.24848928,1.8280101,0.7687927,-0.45299155,1.8588068,0.77913207,-0.4242672,1.8234631,0.79832345,-0.43706092,1.6892365,0.6584942,-0.25014776,1.5674088,0.54668117,-0.40795872,1.6743089,0.5753179,-0.48812258,1.7085319,0.541329,-0.5822078,1.7327489,0.5319082,-0.5334535,1.7209775,0.7619816,-0.41411516,1.8844095,0.7284774,-0.38357148,2.0012033,0.49082366,-0.28541407,2.0777745,0.49907288,-0.46103212,1.9393048,0.56439674,-0.5341945,1.950813,0.55821306,-0.59770024,1.8724855,0.54160535,-0.56794775,1.9035288,0.8227151,0.056763858,1.7563376,0.89514107,0.43066928,1.735343,1.0859905,0.73414093,1.801494,1.0552567,0.9072149,1.7704575,0.7381793,0.056683242,1.8982991,0.56936854,0.3930933,1.9576428,0.5519369,0.76032835,1.9809297,0.4392084,0.8780473,1.9608582,0.7547194,-0.5291222,1.8668121,0.6204932,-0.5693842,1.8059044,0.65320325,-0.6084729,1.8196431,0.77214503,-0.6198616,1.8306112,0.62738174,-0.5822475,1.8525424,0.69904417,-0.5457253,1.9477177
2,subject_09,Persona 9,176,M,crouch,0.7788074,0.057347924,1.8313597,0.7674364,-0.112056375,1.8243778,0.7733202,-0.24773899,1.8276312,0.7676917,-0.45222542,1.8578596,0.7781576,-0.42345983,1.8226084,0.79778206,-0.43617594,1.6884819,0.6572544,-0.24977261,1.5668744,0.5466641,-0.4079022,1.6743909,0.57524145,-0.48809588,1.7085153,0.53962153,-0.58156574,1.7323688,0.5318092,-0.5334067,1.7207215,0.76104,-0.41340497,1.883558,0.727895,-0.38314164,2.0004842,0.49007154,-0.28591713,2.0773885,0.49967206,-0.4610354,1.9385248,0.5635934,-0.5354556,1.9480062,0.5555301,-0.593353,1.8667601,0.54153126,-0.56722903,1.903523,0.8229385,0.057474185,1.7565583,0.8962717,0.43115738,1.7374938,1.087826,0.73395735,1.8040054,1.0569228,0.90700793,1.7733504,0.7390125,0.057234075,1.8988117,0.5691144,0.39299417,1.9578855,0.5524633,0.7601775,1.9805828,0.4397995,0.87796956,1.9610295,0.75330085,-0.5282889,1.865652,0.61705875,-0.56886584,1.8116367,0.6506987,-0.60746527,1.8210741,0.76916516,-0.61613786,1.8241183,0.6269902,-0.58371866,1.8563814,0.70358133,-0.5501865,1.9476334
3,subject_09,Persona 9,176,M,crouch,0.7792297,0.05784669,1.8316804,0.7675068,-0.11147983,1.8244141,0.7730981,-0.24714783,1.8273666,0.7667396,-0.45162013,1.857173,0.77730906,-0.42282826,1.8219894,0.79726726,-0.4354961,1.6879393,0.6561944,-0.24947293,1.5665216,0.5465758,-0.40784833,1.6745484,0.5750926,-0.4880774,1.7085825,0.5381026,-0.58103335,1.7321233,0.531631,-0.53337044,1.720567,0.76022506,-0.4128385,1.8829432,0.727403,-0.38277128,1.9999808,0.489467,-0.2862484,2.077189,0.50012887,-0.46101072,1.9380541,0.5629086,-0.5364566,1.9459647,0.5531924,-0.58963966,1.8623118,0.54145026,-0.56664383,1.9037402,0.82309973,0.058032826,1.7567513,0.89709973,0.4315548,1.7390832,1.08932,0.73382175,1.8056114,1.058247,0.9068562,1.7752905,0.73967016,0.057678852,1.8992475,0.56889266,0.39292488,1.9580971,0.552861,0.76007557,1.9803051,0.44022977,0.87791455,1.9611783,0.7520808,-0.5276276,1.8648081,0.6141291,-0.5683551,1.816623,0.6484815,-0.60659754,1.8225434,0.7665239,-0.61318856,1.8189886,0.62656313,-0.5848164,1.8598176,0.70727956,-0.55373913,1.9477336
4,subject_09,Persona 9,176,M,crouch,0.7793969,0.058112603,1.8316852,0.767325,-0.111164995,1.8239744,0.7727473,-0.24684389,1.8266284,0.7654333,-0.45132127,1.8561101,0.7761466,-0.42252484,1.8209757,0.79665387,-0.43547702,1.6870409,0.6554303,-0.2488634,1.5667421,0.546645,-0.40748745,1.675234,0.57502663,-0.48808897,1.708435,0.5364429,-0.5806003,1.7308736,0.5316115,-0.533342,1.7203802,0.75909054,-0.4125522,1.8819392,0.7268516,-0.38264775,1.9991754,0.4890007,-0.2867406,2.077366,0.50073004,-0.46098658,1.9376923,0.56295806,-0.53673095,1.9469739,0.5522053,-0.584488,1.8608212,0.5415412,-0.56652313,1.9040661,0.8232444,0.058406256,1.7567437,0.89774275,0.43187836,1.7402782,1.0909345,0.7332811,1.8078057,1.0605954,0.9064756,1.7777085,0.7398577,0.057847813,1.8992633,0.5689624,0.3930647,1.9579228,0.55334324,0.7602143,1.9803672,0.4406807,0.87806773,1.9615217,0.7504211,-0.5272683,1.863621,0.61080545,-0.5676825,1.8210683,0.6455744,-0.6057145,1.8237821,0.76306295,-0.61083615,1.814071,0.62545985,-0.58561003,1.8627865,0.7100894,-0.5569741,1.9473679
5,subject_09,Persona 9,176,M,crouch,0.7798826,0.057682812,1.8309475,0.76705277,-0.11160652,1.8234099,0.7721814,-0.24733809,1.826466,0.7638258,-0.45189553,1.8556144,0.7746796,-0.42308456,1.8205119,0.79606336,-0.43543872,1.6866194,0.65481997,-0.2484221,1.5667471,0.5463946,-0.40716144,1.6756117,0.5747334,-0.4880124,1.7083287,0.533992,-0.5797789,1.7297158,0.5313689,-0.5333292,1.7199179,0.75768745,-0.4131253,1.8815211,0.72605217,-0.3845527,1.9992645,0.48875353,-0.28699052,2.077368,0.5007239,-0.46072686,1.9369457,0.5626375,-0.5352905,1.9512438,0.5516406,-0.5818975,1.8640662,0.5404903,-0.5671999,1.9036728,0.8240049,0.05767098,1.7561326,0.8981653,0.4314191,1.7412323,1.092929,0.73095065,1.8125824,1.0650004,0.90501046,1.7870358,0.7400957,0.057693467,1.8984115,0.5693183,0.39282128,1.9587574,0.55489004,0.7598754,1.9844851,0.44385406,0.8783254,1.9766626,0.7484215,-0.5278034,1.8630042,0.6075661,-0.5684154,1.8246374,0.6428244,-0.60619754,1.8248891,0.76000625,-0.6098354,1.8104963,0.623999,-0.5874372,1.8652667,0.7115874,-0.5604148,1.9474397
6,subject_09,Persona 9,176,M,crouch,0.78044283,0.057547837,1.8312153,0.7669029,-0.11160104,1.8235142,0.77151763,-0.24729243,1.8264489,0.76238185,-0.45176113,1.8553437,0.7733066,-0.42296252,1.8202796,0.7951323,-0.4354753,1.6865307,0.6544573,-0.24809758,1.5668044,0.54604125,-0.4068087,1.6755383,0.57392657,-0.4879425,1.707812,0.5317395,-0.57921255,1.7281986,0.53122205,-0.53308666,1.7194762,0.7564299,-0.41301617,1.8812934,0.72536784,-0.3847659,1.999213,0.48843634,-0.28715473,2.0779798,0.500728,-0.46017548,1.936862,0.5610108,-0.5353769,1.9537817,0.5508829,-0.58318514,1.8668873,0.53981954,-0.56771636,1.9036945,0.8244686,0.057432704,1.756386,0.8987565,0.4310123,1.7418935,1.0953562,0.728921,1.8141226,1.0689821,0.9032823,1.7893484,0.7407429,0.057651646,1.8986921,0.5693395,0.39234048,1.9586641,0.5538534,0.7592313,1.9839152,0.44304088,0.8781129,1.9749749,0.7466898,-0.5275828,1.8626547,0.60501593,-0.5680236,1.8266634,0.6406077,-0.6057512,1.8255076,0.7577453,-0.60876316,1.8083774,0.6224714,-0.58774114,1.8667455,0.7117906,-0.5618573,1.9476593
7,subject_09,Persona 9,176,M,crouch,0.7809825,0.057125967,1.8312637,0.7668548,-0.11191207,1.8235061,0.77097374,-0.2475724,1.8263532,0.7608405,-0.45196664,1.854886,0.77189195,-0.42317215,1.8198804,0.79392475,-0.4354986,1.6861919,0.6540275,-0.24755424,1.566653,0.54578614,-0.40618992,1.6755245,0.57340235,-0.48750976,1.7074718,0.5289958,-0.57777995,1.7269647,0.53121454,-0.53244936,1.719703,0.75509065,-0.41325256,1.880896,0.7244095,-0.38528198,1.9989426,0.48815942,-0.28630686,2.0776973,0.50060755,-0.45941502,1.9368119,0.5594387,-0.5357164,1.9542055,0.55037886,-0.58639956,1.868859,0.53923076,-0.5677356,1.9034898,0.8248942,0.056894753,1.756402,0.89948994,0.43031314,1.7427504,1.0971794,0.72726935,1.815367,1.0713162,0.9017372,1.790858,0.7413854,0.057334445,1.8987697,0.56950355,0.39165288,1.958614,0.55357456,0.7584266,1.983593,0.44290772,0.877603,1.9735408,0.7447821,-0.52769405,1.8620683,0.60221106,-0.5672231,1.828192,0.63788617,-0.6050267,1.8256046,0.75490546,-0.6078926,1.8059407,0.62049025,-0.58779335,1.8676527,0.71149373,-0.56364965,1.9473872
8,subject_09,Persona 9,176,M,crouch,0.7813658,0.056728538,1.831056,0.76673174,-0.11214625,1.8232192,0.7703758,-0.24772848,1.8259485,0.7594097,-0.4519567,1.8543352,0.7705701,-0.42320603,1.8193707,0.7930422,-0.4355635,1.6858517,0.6534045,-0.24733426,1.5668528,0.54501754,-0.40589127,1.6753936,0.57269734,-0.4872504,1.7070135,0.5267717,-0.5768515,1.7256839,0.5309722,-0.53220236,1.7194117,0.7538247,-0.41326195,1.8803518,0.7236965,-0.38497978,1.9983785,0.48782864,-0.28579667,2.0774176,0.50045186,-0.45864356,1.9364603,0.55820143,-0.53558207,1.9547915,0.5499831,-0.5883776,1.8705795,0.53879595,-0.56762254,1.9033011,0.8251983,0.056406382,1.7562162,0.8999469,0.4295609,1.7433964,1.0985869,0.7255995,1.8159955,1.0729175,0.899964,1.7911006,0.7418402,0.05701902,1.8985424,0.5696202,0.39083865,1.9585558,0.55404174,0.7574282,1.9828517,0.44323602,0.87651527,1.9718931,0.7430512,-0.52756983,1.861466,0.59987694,-0.5667164,1.829478,0.63566947,-0.60455394,1.825956,0.7525588,-0.6072833,1.8042948,0.61884314,-0.5877258,1.8685584,0.711123,-0.56442595,1.9472336
9,subject_09,Persona 9,176,M,crouch,0.7815231,0.056248553,1.8307688,0.76665807,-0.112497285,1.8228425,0.7699454,-0.24800666,1.8254105,0.7588158,-0.45210546,1.8537685,0.7699863,-0.42337942,1.8188255,0.79227114,-0.43563154,1.6853486,0.652969,-0.24714611,1.5667247,0.54437643,-0.40544263,1.6751628,0.57186913,-0.4869118,1.7065006,0.52510303,-0.57616574,1.7246541,0.53056455,-0.53178996,1.7188383,0.75327367,-0.41343054,1.8797724,0.722967,-0.38501927,1.9976472,0.4877843,-0.2853369,2.0775125,0.50027674,-0.45778632,1.9362748,0.55695117,-0.53531617,1.9555308,0.5492896,-0.59110165,1.873349,0.5382972,-0.567613,1.9030073,0.8253738,0.05589987,1.7560021,0.9003631,0.42879418,1.7441505,1.0991231,0.72442603,1.8170371,1.073109,0.89863116,1.7919192,0.74198097,0.05656296,1.8981892,0.5697504,0.3901054,1.9582163,0.5541202,0.7564862,1.9822574,0.4431551,0.87539285,1.9702088,0.7424034,-0.52765983,1.8608934,0.598567,-0.5651092,1.8296685,0.6341849,-0.6031506,1.8250756,0.7510156,-0.6063332,1.8020813,0.6178014,-0.58702946,1.8682353,0.711017,-0.5659612,1.9464843
